Record_Number,LSN,Type,Type_ID,Length,Space_ID,Page_No,Table_ID,Group,Data_Preview,Data_Length
1,2629,MLOG_DUMMY_RECORD,32,69,0,0,0,1,offset=8224 badlen=8224 data=                          APPL...,62
2,2703,MLOG_REC_MIN_MARK,26,69,0,0,0,1,offset=748 badlen=21850 data=DIT_ABORT_EXEMPT              |NDMIN               ,80
3,2772,MLOG_DUMMY_RECORD,32,69,0,0,0,1,offset=8224 badlen=8224 data=XTHENTICATION_POLICY_ADMIN    ...|\BAC,67
4,2841,MLOG_LIST_END_DELETE,75,69,0,0,0,1,offset=20565 badlen=16735 data=DMIN                    |ZINLOG_ADMIN              ,82
5,2910,MLOG_DUMMY_RECORD,32,69,0,0,0,1,offset=8224 badlen=8224 data=NENCRYPTION_ADMIN         |\CLONE_AD,65
6,2980,MLOG_ZIP_PAGE_REORGANIZE,73,69,0,0,0,1,offset=8270 badlen=8224 data=                  |ZONNECTION_ADMIN              ...,81
7,3053,UNKNOWN_MLOG_3,3,69,0,0,0,1,offset=33044 badlen=0 data=\ENCRYPTION_KEY_ADMIN         ...|\FIREWALL_EX,73
8,3054,MLOG_REC_DELETE,69,1,0,0,0,1,E,1
9,3260,MLOG_1BYTE,1,7,0,0,0,1,offset=2887 value=0x20058415,28
10,3333,MLOG_DUMMY_RECORD,32,69,0,0,0,1,offset=8224 badlen=8224 data=                       |%                             ...,86
11,3402,MLOG_DUMMY_RECORD,32,69,0,0,0,1,offset=8224 badlen=8224 data=                              ...,62
12,3471,MLOG_DUMMY_RECORD,32,69,0,0,0,1,offset=8224 badlen=8224 data=                              ...,62
13,3540,MLOG_DUMMY_RECORD,32,69,0,0,0,1,offset=8224 badlen=8224 data=                              ...,62
14,3568,MLOG_DUMMY_RECORD,32,28,0,0,0,1,offset=8224 badlen=8224 data=     AUDIT_ABORT_EXEMPT,52
15,3671,MLOG_MULTI_REC_END,31,69,0,0,0,1,offset=257 badlen=1536 data=ZUDIT_ABORT_EXEMPT            ...,61
16,3681,MLOG_1BYTE,1,7,0,0,0,2,offset=2887 value=0x20058416,28
17,3754,MLOG_DUMMY_RECORD,32,69,0,0,0,2,offset=8224 badlen=8224 data=                       |%                             ...,86
18,3823,MLOG_DUMMY_RECORD,32,69,0,0,0,2,offset=8224 badlen=8224 data=                              ...,62
19,3892,MLOG_DUMMY_RECORD,32,69,0,0,0,2,offset=8224 badlen=8224 data=                              ...,62
20,3961,MLOG_DUMMY_RECORD,32,69,0,0,0,2,offset=8224 badlen=8224 data=                              ...,62
21,4030,MLOG_DUMMY_RECORD,32,69,0,0,0,2,offset=8224 badlen=8224 data=     BINLOG_ENCRYPTION_ADMIN  ...|8GZI,67
22,4080,MLOG_LIST_START_DELETE,76,49,0,0,0,2,offset=18255 badlen=17759 data=NCRYPTION_ADMIN         ,55
23,4497,MLOG_MULTI_REC_END,31,69,0,0,0,2,offset=257 badlen=1536 data=\INNODB_REDO_LOG_ARCHIVE      ...,61
24,4508,MLOG_1BYTE,1,7,0,0,0,3,offset=2887 value=0x20058418,28
25,4581,MLOG_DUMMY_RECORD,32,69,0,0,0,3,offset=8224 badlen=8224 data=                       |%                             ...,86
26,4592,MLOG_DUMMY_RECORD,32,11,0,0,0,3,offset=8224 badlen=8224 data=      ,35
27,4919,MLOG_MULTI_REC_END,31,69,0,0,0,3,offset=257 badlen=1536 data=\ENCRYPTION_KEY_ADMIN         ...,61
28,4930,MLOG_1BYTE,1,7,0,0,0,4,offset=2887 value=0x20058419,28
29,5003,MLOG_DUMMY_RECORD,32,69,0,0,0,4,offset=8224 badlen=8224 data=                       |%                             ...,86
30,5072,MLOG_DUMMY_RECORD,32,69,0,0,0,4,offset=8224 badlen=8224 data=                              ...,62
31,5104,MLOG_DUMMY_RECORD,32,32,0,0,0,4,offset=8224 badlen=8224 data=                           ,56
32,5341,MLOG_MULTI_REC_END,31,69,0,0,0,4,"offset=257 badlen=1536 data=,S\PERSIST_RO_VARIABLES_ADMIN ...",61
33,5352,MLOG_1BYTE,1,7,0,0,0,5,offset=2887 value=0x2005841a,28
34,5425,MLOG_DUMMY_RECORD,32,69,0,0,0,5,offset=8224 badlen=8224 data=                       |%                             ...,86
35,5494,MLOG_DUMMY_RECORD,32,69,0,0,0,5,offset=8224 badlen=8224 data=                              ...,62
36,5563,MLOG_DUMMY_RECORD,32,69,0,0,0,5,offset=8224 badlen=8224 data=                              ...,62
37,5616,MLOG_DUMMY_RECORD,32,53,0,0,0,5,offset=8224 badlen=8224 data=                              ...,62
38,5763,MLOG_MULTI_REC_END,31,69,0,0,0,5,offset=257 badlen=1536 data=8GZINLOG_ADMIN                ...,61
39,5773,MLOG_1BYTE,1,7,0,0,0,6,offset=2887 value=0x2005841b,28
40,5846,MLOG_DUMMY_RECORD,32,69,0,0,0,6,offset=8224 badlen=8224 data=                       |%                             ...,86
41,5915,MLOG_DUMMY_RECORD,32,69,0,0,0,6,offset=8224 badlen=8224 data=                              ...,62
42,5984,MLOG_DUMMY_RECORD,32,69,0,0,0,6,offset=8224 badlen=8224 data=                              ...,62
43,6053,MLOG_DUMMY_RECORD,32,69,0,0,0,6,offset=8224 badlen=8224 data=                              ...,62
44,6122,MLOG_DUMMY_RECORD,32,69,0,0,0,6,offset=8224 badlen=8224 data=     FLUSH_OPTIMIZER_COSTS    ...|0OZL,67
45,6125,MLOG_PAGE_REORGANIZE,72,1,0,0,0,6,H,1
46,6194,MLOG_1BYTE,1,7,0,0,0,6,offset=2887 value=0x2005841c,28
47,6267,MLOG_DUMMY_RECORD,32,69,0,0,0,6,offset=8224 badlen=8224 data=                       |%                             ...,86
48,6336,MLOG_DUMMY_RECORD,32,69,0,0,0,6,offset=8224 badlen=8224 data=                              ...,62
49,6405,MLOG_DUMMY_RECORD,32,69,0,0,0,6,offset=8224 badlen=8224 data=                              ...,62
50,6474,MLOG_DUMMY_RECORD,32,69,0,0,0,6,offset=8224 badlen=8224 data=                              ...,62
51,6543,MLOG_DUMMY_RECORD,32,69,0,0,0,6,offset=8224 badlen=8224 data=     FLUSH_STATUS             ...,62
52,6613,MLOG_FILE_EXTEND,65,69,0,0,0,6,offset=21844 badlen=8275 data=                   | root               ,70
53,6640,MLOG_DUMMY_RECORD,32,27,0,0,0,6,offset=8224 badlen=8224 data=        |%           ,50
54,7005,MLOG_MULTI_REC_END,31,69,0,0,0,6,offset=257 badlen=1536 data=PTABLES                    ,55
55,7074,MLOG_REC_SEC_DELETE_MARK,11,69,0,0,0,7,offset=33822 badlen=8197 data=root                          ...|%                             ,94
56,7143,MLOG_DUMMY_RECORD,32,69,0,0,0,7,offset=8224 badlen=8224 data=                              ...,62
57,7152,MLOG_DUMMY_RECORD,32,9,0,0,0,7,offset=8224 badlen=8224 data=    ,33
58,7421,MLOG_MULTI_REC_END,31,69,0,0,0,7,offset=257 badlen=1536 data=<CNDMIN                     ,56
59,7490,MLOG_MULTI_REC_END,31,69,0,0,0,0,offset=1412 badlen=29216 data=oot                           ...|%                             ...,97
60,7559,MLOG_DUMMY_RECORD,32,69,0,0,0,8,offset=8224 badlen=8224 data=                              ...,62
61,7628,MLOG_DUMMY_RECORD,32,69,0,0,0,8,offset=8224 badlen=8224 data=                              ...,62
